State,2012,2013,2014,2015,2016,2017
Alabama,26.2,25,25.7,26.6,27.2,27.1
Alaska,27.3,28,26.9,28.9,29,27.7
Arizona,27.5,27.3,27.6,27.4,28.3,29.8
Arkansas,23.7,23.5,24,24.6,25,26.6
California,32.4,32.4,33.6,34.5,35.4,36.5
Colorado,38.6,39.1,40.1,41.2,40.9,43.1
Connecticut,41.3,41.8,42.4,43.2,43.7,43.4
Delaware,32.4,34.6,34.6,34,33.2,32.4
District of Columbia,62.7,65.4,65.9,66.8,65.3,68.2
Florida,28,28.3,28.5,29.9,29.9,31.1
Georgia,30.5,30.8,31.3,32.2,32.8,33.3
Hawaii,30.6,33.6,32.7,33.9,33,34.1
Idaho,25.9,27.4,26.2,27.5,29.3,28
Illinois,37.3,37.6,38.7,38.7,40.1,40
Indiana,27.6,27.4,28.8,29,30.1,31.3
Iowa,32.8,32.3,34.7,33.7,35.1,35.2
Kansas,33.7,34.2,35.3,35.3,35.7,37.1
Kentucky,25.5,26.5,26.4,27.3,27.5,28.1
Louisiana,24.7,25.4,26.2,26,25.9,26.8
Maine,28.3,30.5,32,33,34.2,35.1
Maryland,40.8,40.7,42.4,42.5,43.3,43.7
Massachusetts,46.4,47.6,48.4,48.7,50,50.3
Michigan,30.1,31,31.8,31.9,32.4,33.4
Minnesota,39,38.8,39.9,40.4,40.4,42
Mississippi,22.2,21.9,24,22.7,23.4,22.7
Missouri,31.1,31.8,32.8,32.8,33.5,33.6
Montana,32,31.7,31.5,34.4,32.8,33.7
Nebraska,34.4,34.7,35.6,35.8,37.7,37.7
Nevada,22.4,21.8,22.9,23.2,23.1,24.9
New Hampshire,38.1,37.5,38.7,39.9,40.7,40.5
New Jersey,42.3,42.8,43.5,44.4,45.2,47.3
New Mexico,23.9,24.7,23,22.8,24.7,24.3
New York,39.7,41,41.8,42.6,43.1,44
North Carolina,30.5,31.9,32.3,32.6,34,35.2
North Dakota,35.7,32.9,33,34.4,36.5,39.1
Ohio,30.1,31.1,31.8,32,32.6,33.2
Oklahoma,25.3,25.6,26,25.9,26.7,26.7
Oregon,32.7,33.2,33.6,35.5,35.3,37.2
Pennsylvania,34.6,35.7,36,36.8,38.4,38.7
Rhode Island,35.6,35.7,34.7,35.9,39.3,38.3
South Carolina,27.4,28.6,28.3,28.7,29.5,29.8
South Dakota,30,31.2,31.8,31.6,32.6,30.7
Tennessee,28.2,29.1,28.9,29.9,29.9,31.8
Texas,27.6,28.8,29.3,29.9,30.4,31.1
Utah,31.4,32.1,31.4,32.6,34.6,36.2
Vermont,38.2,39,39.4,38.2,40.5,41.2
Virginia,39.7,40,41.3,41.1,41.7,42.6
Washington,32.8,34.1,35.2,36.3,37.5,38.1
West Virginia,22.5,22.7,23.2,24,25.2,23.5
Wisconsin,32.1,32.8,33.5,33.7,35.2,36
Wyoming,24.8,29.1,26.9,27.7,28.4,28.6
