State,Year,Bachelors_percentage,Income,Postsecon_percentage
Alabama,2012,26.2,35824.0,34.9
Alabama,2013,25.0,36014.0,34.3
Alabama,2014,25.7,37055.0,35.1
Alabama,2015,26.6,38531.0,35.7
Alabama,2016,27.2,39014.0,37.1
Alabama,2017,27.1,40252.0,36.9
Alaska,2012,27.3,53708.0,36.7
Alaska,2013,28.0,52812.0,36.0
Alaska,2014,26.9,55867.0,35.1
Alaska,2015,28.9,57575.0,37.4
Alaska,2016,29.0,56278.0,37.5
Alaska,2017,27.7,57278.0,37.7
Arizona,2012,27.5,36545.0,36.8
Arizona,2013,27.3,37139.0,36.3
Arizona,2014,27.6,38756.0,36.5
Arizona,2015,27.4,40334.0,36.2
Arizona,2016,28.3,41473.0,37.2
Arizona,2017,29.8,43301.0,38.9
Arkansas,2012,23.7,36582.0,31.2
Arkansas,2013,23.5,36677.0,30.8
Arkansas,2014,24.0,38749.0,32.1
Arkansas,2015,24.6,39968.0,33.1
Arkansas,2016,25.0,40873.0,32.6
Arkansas,2017,26.6,42056.0,35.2
California,2012,32.4,48121.0,40.1
California,2013,32.4,48502.0,40.1
California,2014,33.6,51266.0,41.2
California,2015,34.5,54546.0,42.0
California,2016,35.4,56560.0,43.0
California,2017,36.5,58813.0,44.3
Colorado,2012,38.6,45630.0,47.2
Colorado,2013,39.1,47404.0,47.9
Colorado,2014,40.1,50797.0,48.9
Colorado,2015,41.2,52339.0,49.8
Colorado,2016,40.9,52390.0,49.8
Colorado,2017,43.1,55294.0,51.3
Connecticut,2012,41.3,64121.0,48.7
Connecticut,2013,41.8,62647.0,49.2
Connecticut,2014,42.4,65498.0,49.9
Connecticut,2015,43.2,67321.0,50.4
Connecticut,2016,43.7,68680.0,50.9
Connecticut,2017,43.4,70163.0,51.4
Delaware,2012,32.4,44070.0,40.1
Delaware,2013,34.6,44404.0,42.2
Delaware,2014,34.6,46015.0,42.7
Delaware,2015,34.0,47868.0,42.0
Delaware,2016,33.2,48734.0,41.6
Delaware,2017,32.4,50516.0,40.9
District of Columbia,2012,62.7,68148.0,65.2
District of Columbia,2013,65.4,67774.0,68.1
District of Columbia,2014,65.9,71469.0,69.0
District of Columbia,2015,66.8,75623.0,69.4
District of Columbia,2016,65.3,78186.0,67.8
District of Columbia,2017,68.2,79967.0,71.0
Florida,2012,28.0,41540.0,39.1
Florida,2013,28.3,41162.0,39.7
Florida,2014,28.5,43516.0,39.9
Florida,2015,29.9,45659.0,41.2
Florida,2016,29.9,46454.0,41.2
Florida,2017,31.1,49020.0,42.8
Georgia,2012,30.5,37495.0,38.3
Georgia,2013,30.8,37794.0,38.9
Georgia,2014,31.3,39969.0,39.0
Georgia,2015,32.2,41941.0,40.1
Georgia,2016,32.8,43033.0,41.0
Georgia,2017,33.3,44996.0,41.7
Hawaii,2012,30.6,43812.0,42.3
Hawaii,2013,33.6,43931.0,45.6
Hawaii,2014,32.7,46044.0,44.2
Hawaii,2015,33.9,47777.0,45.4
Hawaii,2016,33.0,49122.0,45.1
Hawaii,2017,34.1,51055.0,46.6
Idaho,2012,25.9,35110.0,36.7
Idaho,2013,27.4,36095.0,37.1
