Year,State,Deaths,Income
2017,Alabama,53238.0,40252.0
2017,Alaska,4411.0,57278.0
2017,Arizona,57758.0,43301.0
2017,Arkansas,32588.0,42056.0
2017,California,268189.0,58813.0
2017,Colorado,38063.0,55294.0
2017,Connecticut,31312.0,70163.0
2017,Delaware,9178.0,50516.0
2017,District of Columbia,4965.0,79967.0
2017,Florida,203636.0,49020.0
2017,Georgia,83098.0,44996.0
2017,Hawaii,11390.0,51055.0
2017,Idaho,14011.0,41560.0
2017,Illinois,109721.0,53645.0
2017,Indiana,65597.0,45116.0
2017,Iowa,30530.0,47286.0
2017,Kansas,27063.0,48756.0
2017,Kentucky,48212.0,40770.0
2017,Louisiana,45804.0,44074.0
2017,Maine,14676.0,46421.0
2017,Maryland,49926.0,59183.0
2017,Massachusetts,58803.0,66625.0
2017,Michigan,97602.0,45648.0
2017,Minnesota,44371.0,54317.0
2017,Mississippi,32280.0,36907.0
2017,Missouri,61876.0,45376.0
2017,Montana,10200.0,46101.0
2017,Nebraska,16878.0,50204.0
2017,Nevada,24657.0,47542.0
2017,New Hampshire,12504.0,58419.0
2017,New Jersey,74846.0,62397.0
2017,New Mexico,18673.0,39437.0
2017,New York,155358.0,63045.0
2017,North Carolina,93157.0,44529.0
2017,North Dakota,6415.0,52455.0
2017,Ohio,123648.0,46711.0
2017,Oklahoma,40452.0,44444.0
2017,Oregon,36624.0,47983.0
2017,Pennsylvania,135656.0,52499.0
2017,Rhode Island,10157.0,50973.0
2017,South Carolina,49441.0,42819.0
2017,South Dakota,7996.0,50350.0
2017,Tennessee,70096.0,44969.0
2017,Texas,198106.0,49227.0
2017,Utah,18035.0,43400.0
2017,Vermont,6007.0,50709.0
2017,Virginia,68579.0,54976.0
2017,Washington,56995.0,57244.0
2017,West Virginia,23276.0,39169.0
2017,Wisconsin,52681.0,48741.0
2017,Wyoming,4768.0,57126.0
2016,Alabama,52466.0,39014.0
2016,Alaska,4494.0,56278.0
2016,Arizona,56645.0,41473.0
2016,Arkansas,31756.0,40873.0
2016,California,262240.0,56560.0
2016,Colorado,37530.0,52390.0
2016,Connecticut,30543.0,68680.0
2016,Delaware,8874.0,48734.0
2016,District of Columbia,5037.0,78186.0
2016,Florida,197313.0,46454.0
2016,Georgia,81428.0,43033.0
2016,Hawaii,10913.0,49122.0
2016,Idaho,13366.0,40098.0
2016,Illinois,107020.0,52036.0
2016,Indiana,63473.0,43645.0
2016,Iowa,29538.0,46291.0
2016,Kansas,26245.0,47326.0
2016,Kentucky,47827.0,39750.0
2016,Louisiana,44306.0,42725.0
2016,Maine,14182.0,44740.0
2016,Maryland,48824.0,57632.0
2016,Massachusetts,56961.0,64295.0
2016,Michigan,96231.0,44527.0
2016,Minnesota,43078.0,52596.0
2016,Mississippi,31741.0,36021.0
2016,Missouri,59873.0,44410.0
2016,Montana,9905.0,44063.0
2016,Nebraska,16217.0,49360.0
2016,Nevada,23902.0,45450.0
2016,New Hampshire,12203.0,56321.0
2016,New Jersey,73155.0,60533.0
2016,New Mexico,18365.0,38775.0
2016,New York,154358.0,59280.0
2016,North Carolina,90465.0,42936.0
2016,North Dakota,6242.0,52005.0
2016,Ohio,119572.0,45212.0
2016,Oklahoma,39276.0,42521.0
2016,Oregon,35778.0,45999.0
2016,Pennsylvania,133040.0,51181.0
2016,Rhode Island,9735.0,49184.0
2016,South Carolina,48130.0,41178.0
2016,South Dakota,7845.0,49192.0
2016,Tennessee,67857.0,43499.0
2016,Texas,191966.0,46586.0
2016,Utah,17913.0,41750.0
2016,Vermont,5909.0,49621.0
2016,Virginia,66473.0,53268.0
2016,Washington,54769.0,54918.0
2016,West Virginia,22732.0,37380.0
2016,Wisconsin,51815.0,47205.0
2016,Wyoming,4722.0,54827.0
2015,Alabama,51909.0,38531.0
2015,Alaska,4316.0,57575.0
2015,Arizona,54299.0,40334.0
2015,Arkansas,31617.0,39968.0
2015,California,259206.0,54546.0
2015,Colorado,36349.0,52339.0
2015,Connecticut,30535.0,67321.0
2015,Delaware,8582.0,47868.0
2015,District of Columbia,4871.0,75623.0
2015,Florida,191737.0,45659.0
2015,Georgia,79942.0,41941.0
2015,Hawaii,11053.0,47777.0
2015,Idaho,13026.0,39386.0
2015,Illinois,106872.0,51443.0
2015,Indiana,62713.0,42667.0
2015,Iowa,29600.0,46104.0
2015,Kansas,26664.0,47332.0
2015,Kentucky,46564.0,39232.0
2015,Louisiana,43716.0,43113.0
2015,Maine,14479.0,43672.0
2015,Maryland,47247.0,55825.0
2015,Massachusetts,57806.0,62376.0
2015,Michigan,95140.0,43425.0
2015,Minnesota,42800.0,51985.0
2015,Mississippi,31783.0,35533.0
2015,Missouri,59871.0,43322.0
2015,Montana,9942.0,43941.0
2015,Nebraska,16740.0,50556.0
2015,Nevada,22879.0,44493.0
2015,New Hampshire,11984.0,54684.0
2015,New Jersey,72271.0,59175.0
2015,New Mexico,17685.0,38103.0
2015,New York,153628.0,57481.0
2015,North Carolina,89133.0,42076.0
2015,North Dakota,6223.0,53991.0
2015,Ohio,118188.0,44442.0
2015,Oklahoma,39422.0,44894.0
2015,Oregon,35705.0,44694.0
2015,Pennsylvania,132598.0,49927.0
2015,Rhode Island,10163.0,48682.0
