Table S-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Postsecondary Degree Holders among Individuals 25–44 Years Old, by state: 2005–2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Postsecondary degree holders 25–44 years old,,,,,,,,,,,,,,,,Individuals 25–44 years old,,,,,,,,,,,,,,,,Postsecondary degree holders/individuals 25–44 years old (Percent),,,,,,,,,,,,,,
State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
United States,"31,807,550","32,064,675","32,352,390","32,539,935","32,986,370","32,988,290","33,651,995","34,560,330","35,261,915","36,125,020","36,880,170","37,854,065","39,031,060","40,021,770","40,848,825",,"83,791,910","83,658,364","83,519,695","83,398,876","83,197,208","83,163,507","83,377,275","83,731,930","84,192,745","84,742,483","85,349,230","86,043,189","86,847,172","87,610,861","88,393,014",,38.0,38.3,38.7,39.0,39.6,39.7,40.4,41.3,41.9,42.6,43.2,44.0,44.9,45.7,46.2
Alabama,"389,490","382,125","388,035","399,335","405,825","395,965","410,755","427,420","421,375","431,340","439,035","456,845","454,570","467,155","481,025",,"1,228,586","1,233,767","1,232,608","1,231,410","1,232,200","1,228,719","1,225,177","1,225,301","1,226,950","1,228,634","1,229,894","1,230,234","1,231,962","1,235,156","1,240,535",,31.7,31.0,31.5,32.4,32.9,32.2,33.5,34.9,34.3,35.1,35.7,37.1,36.9,37.8,38.8
Alaska,"58,630","63,330","65,635","65,550","61,365","72,190","68,880","74,730","74,595","72,900","78,260","79,705","80,430","79,710","84,365",,"188,753","188,470","188,612","189,673","191,023","197,484","200,160","203,538","206,940","207,935","209,364","212,764","213,484","213,174","213,353",,31.1,33.6,34.8,34.6,32.1,36.6,34.4,36.7,36.0,35.1,37.4,37.5,37.7,37.4,39.5
Arizona,"552,805","586,050","583,945","583,185","608,775","572,255","595,765","627,360","624,995","635,560","638,360","668,310","711,600","734,325","742,865",,"1,620,018","1,664,223","1,682,760","1,690,369","1,685,082","1,681,042","1,690,623","1,704,165","1,719,573","1,741,550","1,765,511","1,795,527","1,827,995","1,863,583","1,903,120",,34.1,35.2,34.7,34.5,36.1,34.0,35.2,36.8,36.3,36.5,36.2,37.2,38.9,39.4,39.0
Arkansas,"202,620","202,595","207,170","204,995","216,125","218,465","225,880","232,995","230,695","240,710","249,465","247,065","268,325","268,450","266,820",,"741,013","747,504","747,162","745,354","743,283","743,027","745,419","747,311","748,724","750,150","753,383","757,147","761,587","764,254","767,131",,27.3,27.1,27.7,27.5,29.1,29.4,30.3,31.2,30.8,32.1,33.1,32.6,35.2,35.1,34.8
California,"3,892,100","3,942,405","3,958,150","3,948,560","4,024,500","4,037,405","4,095,175","4,262,365","4,306,965","4,471,475","4,603,005","4,768,550","4,957,625","5,044,330","5,196,225",,"10,619,001","10,578,738","10,519,395","10,505,976","10,493,897","10,508,797","10,563,533","10,636,008","10,730,918","10,844,896","10,961,901","11,088,335","11,197,559","11,274,711","11,335,052",,36.7,37.3,37.6,37.6,38.4,38.4,38.8,40.1,40.1,41.2,42.0,43.0,44.3,44.7,45.8
Colorado,"636,435","616,560","635,205","645,080","654,275","657,580","686,255","697,090","717,655","745,360","778,860","795,675","838,125","874,450","911,965",,"1,372,686","1,380,451","1,391,221","1,404,254","1,415,641","1,430,726","1,452,344","1,475,571","1,499,651","1,524,815","1,562,535","1,598,643","1,634,622","1,675,850","1,711,425",,46.4,44.7,45.7,45.9,46.2,46.0,47.3,47.2,47.9,48.9,49.8,49.8,51.3,52.2,53.3
Connecticut,"432,450","425,025","431,260","435,570","426,215","422,805","426,065","433,320","434,330","436,520","437,080","438,025","442,880","451,665","452,545",,"959,888","944,217","930,413","923,555","911,836","902,627","894,883","889,262","882,963","875,557","867,238","860,875","861,822","869,012","875,170",,45.1,45.0,46.4,47.2,46.7,46.8,47.6,48.7,49.2,49.9,50.4,50.9,51.4,52.0,51.7
Delaware,"87,995","92,375","86,105","85,620","92,530","86,800","89,770","91,120","96,925","99,350","98,685","98,150","97,055","93,115","104,635",,"232,763","232,516","231,339","230,357","228,638","227,384","227,311","227,469","229,950","232,784","235,059","236,076","237,424","239,609","242,181",,37.8,39.7,37.2,37.2,40.5,38.2,39.5,40.1,42.2,42.7,42.0,41.6,40.9,38.9,43.2
